Producto,Medidas,Linea
OXILAND 100 A.P," 
                                100 mg","Bovinos, Ovinos, Caprinos, Caninos y Felinos"
DQSAPEN ES,"

200.000 UI
200.000 UI
400 mg","Bovinos,Equinos,Ovinos,Caprinos y Caninos"
OXITETRACICLINA HCl 5%,"

50 mg ","Bovinos, equinos, ovinos, caprinos, porcinos y caninos"
OXITETRACICLINA HCL 10%,"
100 mg","Bovinos, Caninos, Caprinos, Equinos, Ovinos y Porcinos. "
DQZOLE 15%,"

15 g",Bovinos y Ovinos 
PAREDON 10%,100 g,Bovinos
MATILAND,"
                                  20 mg",Bovinos
REATIVAM INYECTABLE,"

125 mg
125 mg
20 mg
25 mg
20 mg
7 mg
5 g
10 mg 
5 mg
100 mcg
10 mg
5 mg
100 mg
5 mg
7 mg
3.5 mg
3 mg
4.5 mg
12 mg
5 mg
6.5 mg
7.5 mg
10 mg 
","Bovinos, Equinos, Ovinos, Caninos y Felinos"
COMPLELAND B12,"                                 10 mg                  100 mg            60 mcg                5 mg                    5 mg                      20 mg                  50 mg                   0,0048 mL","Bovinos, Equinos, Porcinos, Ovinos y Caninos "
VITAVEM,"           
                     8,000,000 UI  1,000,000 UI    5,000 UI          3,000 mg             500 mg              2,000 mg                 1,500 mg             7,500 mg            3,500 mg              5,000 mcg            20,000 mg           3,900 mg              3,250 mg            600 mg               500 mg",Aves
DQTRIM,"

8 g
40 g",Aves y Porcinos
MI FIEL AMIGO,"    
                               30,0 g                    2,5 g                  0,250 g                0,5 g",Caninos
PENICILINA G,"

100.000 U.l.
300.000 U.l.","Bovinos, Caninos, Caprinos, Equinos, Felinos, Ovinos y Porcinos"
ASCORVEX,"

250 mg","Bovinos, caninos, equinos y felinos."
CALFOLAND,"

90,6 g
7,5 g
20,45 g
82,5 g","Bovinos, Equinos, Ovinos, Porcinos "
PAMOATO DE PIRANTEL 38%,"

38 g",Caninos y Equinos
FLEXOGAN UNGÜENTO,"     
                      3,0 g                   5,0 g",No aplica
GELUK,"

50 mg ","Equinos, Caninos y Felinos"
VANOVET,"

130 mg",No informa
LEVAMISOL 15%,"

150 mg","Bovinos, Caprinos, Cerdos y Ovinos"
ROLDYCINA,"

40 g
8 g",Aves
AMINOLYTE,"

5 g
250 mg
15 mg
20 mg
20 mg
10 mg
4 mg
5 mg
150 mg
10 mg
5 mcg
4 mg
4.7 mg
2.7 mg
3.6 mg
12.8 mg
6.4 mg
1.2 mg
2.0 mg
4.2 mg
1.7 mg
3.3 mg
5.4 mg
0.9 mg
2.9 mg
1.7 mg
4.9 mg
2.2 mg
0.7 mg
","Bovinos, Equinos, Porcinos, Caninos y Gatos"
PENTRILAND R.L.A,"
125,000 Ul     
93,750 Ul           
93,750 Ul           ","Bovinos, Equinos, Porcinos, Ovinos y Caninos"
ALBENPROC,                               15 g,Bovinos y Ovinos
ALBENDAZOL 15% SUSPENSION,                              15 g,Bovinos y ovinos
AUROPUPPY,"

80 mg",Perros y Gatos
PORCIX,"

50 mg
300 mg",Porcinos
OXITETRACICLINA 100,"

100 mg.","Bovinos, Equinos, Ovinos, Caprinos, Porcinos, Perros, Gatos y Aves"
PENICILINA PROCAINICA KANAMICINA (SUSPENSION),"                              15,000 Ul            40 mg",Bovinos
SULTRAX,                                8 g                        40 g,"Bovinos, Equinos,, Porcinos, Ovinos y Caprinos"
ESPECIFICO ERMA,"


47,9 g",No informa
BALADINE,"


2.5 g",No informa
SELLOTET,"

2 g",Bovinos
OXITETRACICLINA 50,50 mg,"Aves, bovinos, caprinos, equinos, ovinos y porcinos."
FEVIGAN,"                                1,0 g                        0,5 g",No aplica
OXITETRACICLINA 50 MG,"

50 mg","Bovinos, Equinos, Porcinos, Ovinos, Caprinos, Caninos y Aves"
OXITETRACICLINA 50 MG INYECTABLE,"

50 mg","Bovinos, Equinos, Ovinos, Porcinos, Perros y -Gatos"
SERVIGAN ,"

500.000 Ul","Bovinos, Equino, Porcinos y Caninos"
VITAMINA A INYECTABLE,"                               500,000 Ul","Bovinos, Porcinos, Ovinos y Equinos"
DEXTROSA AL 50%,                                 50 g,No informa
DEXTROSA 30%,                                 30g,No informa
FENILBUTAZONA INYECTABLE,"

12 g",
VERMIGAN 15%,"


150 mg","Bovinos, Ovinosa, Caprinos y porcinos"
GRIPIFFA1,,
ROEVITAN,                                10 mg                   2 mg                   100 mg                  50 mcg,"Bovinos, Equinos, Porcinos, Ovinos, Caninos y gatos"
MARAMISOL,                              150 mg,"Bovinos, Ovinos y Caprinos"
GOTAS MULTIVITAMINICAS,"                              2,000 Ul            400 Ul                    5 Ul                      2 mg                   2 mg                       2 mg                      0,5 mg                10 mcg                10 mg                 5 mg                      0,05 mg                0,05 mg                100 mg",Canino y gatos
CARBACHOL,"

100 mg
","Equinos, ovinos, caprinos"
LEVAMISOL INYECTABLE 15%,                                   15 g,"Bovinos, Ovinos, Caprinos, Porcinos"
CLOXACILINA+AMPICILINA+BETAMETASONA,"


200 mg.

75 mg.


4  mg.",Bovinos 
VECOLFOS,"

250.0 mg.
    0.35 mg.
  26.5 mg.
    5.0 mg."," Bovinos, Equinos, Porcinos, Caprinos Y Caninos."
SULFADIAZINA + TRIMETOPRIM,"                                    

400 mg                 80 mg","Bovinos, Equinos, Ovinos Y Porcinos "
ASCROVEX POLVO SOLUBLE,98 g.,Aves
ROMICINA 100,"                                    

100 mg","Bovinos, Ovinos, Porcinos, Caprinos,Caninos y Aves"
ORNIVIT," 
                                600 Ul                 60 Ul                   5 Ul",Aves
HEMATURINA,"

7 g
1,75 g
0,75 g","Aves, Bovinos, Equinos, Ovinos, Porcinos, Caninos Y Felinos."
PULVEX JABÓN INSECTICIDA,"

1 g.",No informa
CORNILAND,"                                        


46 g                        10 g",Bovinos
KASCO UNGÜENTO,"     
                       95,0 g                   5,0 g",No informa
GENCIANA TINTURA," 
                                0,682 g.             0,682 g.               0,682 g.                  4,228 m.l","Bovinos, Caninos, Caprinos, Equinos, Ovinos y Porcinos"
NOMAST,"                                

4 g.                         1,500,000 Ul   2 mg.",Bovinos 
OXITETRACICLINA 50,"  
                            50 mg","Bovinos, Equinos, Porcinos, Ovinos, Caninos y Aves"
GANABOL 50,"

50 mg","Bovinos, Equinos, porcinos y perros."
BOVENZOL,"                                      16,0 g",Bovinso Y ovinos
YODYFER ,"                                 2 g                         2,4 g",Bovinos y Equinos
WINNER SHAMPOO,"                                 0,28 g                   3,0 g                      30,0 g","Caninos, Equinos y Bovinos"
TETHONIL,"                                 

   6 g.
   5 g.
   2 g.
 10 g.                                                                                  ",No informa
CHADINE,"


12,50 g.",No informa
GALLEX,"                                 

5,000,000 Ul      500,000 Ul           2,500 Ul                1000 mg              250 mg                 400 mg                 3000 mg                2000 mg               500 mg                   1000 µg               4000 mg",No informa
MOSKOFIN  EC,"

15 g.",Bovinos
TOFLA,"                               5,0 g                  0,5 g                       10,0 g                       3,5 g",No informa
LEPECID,"                                

50 g.
  3 g.                          ","Porcinos, Caninos, Caprinos,  Bovinos, Equinos y Ovinos."
DINITOLMIDA,                               98 g,Aves
FLATULAX,                              30 g,"Bovinos, Equinos y Ovinos"
BUTAZINOL ORAL,                              1 g,Equinos
COLONIA MASCOTT,"                           0,5 mL",No informa
BUTAZINOL ORAL CANINOS,                                1 g,Caninos
DERMAVET SHAMPOO,"                                0,2 mg                 7,66 g                  3 g","Equinos, perros y gatos "
UNIMAST,"


13'000.000 Ul","Bovinos, Porcinos, Caninos, gatos y Aves"
VITAWELL,"                                  25 g                       5 g                            2 g                           1,5 g                       1 g                         1,5 mg                 0,5 g                      0,6 g",Bovinos y Equinos
METRONIDAZOL SUSPENSION,                                    4 g,Perros
ERTROMICINA,,
"ENROVET  SOLUCION ORAL AL 2,5%","                                2,5 g",Bovinos
ENROVET 5%,"


50 mg","Bovinos, porcinos, perros y gatos"
ENROVET 10%,"


10 g","Aves, perros y gatos"
VITAYET,"500,000 Ul","Bovinos, Equinos, Ovinos, caprinos y Porcinos"
MEBENDAZOL 20%,                               20 g,Equinos
AZUL DE METILENO   ,"

100 g","Bovinos, equinos, porcinos, ovinos, caprinos, caninos, felinos y aves"
LEVAMISOL 15%,"


150 mg","Bovinos, Ovinos y caprinos"
CALMADEX,"

100 g
11,5 g
12 g
13,5 g
75 g",
LIDOCAINA AL 2%,"                                

20 mg","Bovinos, Equinos, Caprinos, Ovinos canino y Porcinos "
EQUIBEST,"


35,0 g",No informa
CAN-BEST,"


7,5 g",Perros
KON-ABON-NF,"

0,8 g
1,6 g",
ALBENDAVEM 25,"

25 g",
BOVIGAN,                                150 mg,"Bovinos, Porcinos, Ovinos y Caprinos"
OXIBEST 50,"


50 mg","Bovinos, Equinos, Porcinos, Ovinos, Caprinos, Caninos y gatos."
HIPOSULFITO DE SODIO,"0,1 g","Bovinos, Equinos"
POMADA INPEC,"                                   16,66 g                  16,68g","Bovinos, Caninos, Equinos, Caprinos y gatos"
ELECTROZOO C,"


55,8 g
20,3 g
18,1 g
5,0 g
10000Ul
500 Ul
0.0040 g
0,010 g
0,010 g
0.015 g
0,005 g",Perros y gatos
OXIBEST 200 L.A,"


200 mg","Bovinos, Equinos, Porcinos, Caprinos, Ovinos, Caninos, gatos y Aves"
VERMILAND,"                                      

15 g.",Bovinos y Ovinos
BRIOLAND,"                            

2 g                            4 g                        5 g                         30 g                          300 mg                  600 mg                300 mg                 3000 mcg",Bovinos y equinos
AVIBEN 600,"

600,000 Ul
","Bovinos, Ovinos y Porcinos"
PAMOATO DE PIRANTEL 3%,"

8,66 g",Caninos
NEOXIVEM ,"                                     

20 g                       20 g",Aves y porcinos.
VITAROL,"                                  

2,5 g                    1 g                         1,5 mg                600 mg                 500 mg                 1,5 g                      2 g                         5 g",Bovinos y Equinos
MAMILAND,"

   5 g.
   8 g.
   2 g.
   2 g.
 10 g.
2,5 g.
1,5 g.
1,5 g.
   3 g.","Bovinos, Equinos, Porcinos, Ovinos, Caprinos y  Caninos."
MEBEQUINO,"

20 g","Caballos , yeguas, potros, asnos y mulas"
FLOXASYN AVES 10%,"                                 

100 mg.",Aves
"FLOXASYN 2,5%",                               25 mg.,Bovinos
CYANTEL,"                                

100 g",Equinos
POMADA RUBEFACIENTE,"



5 g
5 g
5 g
9 g
1 g
1 g
3 g","Bovinos, Equinos, Ovinos y caninos."
EQUITAL,,
ANABOLAND 50 CD,"

50mg.","Bovinos, Equinos, Porcinos Y Caninos"
PAMOATO DE PIRANTEL 2.5%,"

7,2 g",Caninos
VITAMINA A,"                                

600,000 Ul","Bovinos, equinos, Porcinos, Ovinos y Caprinos"
ZOO-CALCÍN SUSPENSIÓN,"

20 mg.
14 mg.
50 mg.
14 mg.
50 mcg.
2.500 UI
1.000 UI
21 g.","Bovinos, Caprinos, Porcinos, Caninos y Felinos."
LEVAMISOL 15%,"                                       

150 mg","Bovinos, Ovinos y Caprinos"
LEVACAN N.F,"                               

72 mg.",Caninos
EQUINTEL,"

13,00 g",Equinos
ALGILAND,"                                 

500 mg.","Equinos, Bovinos, Ovinos, Caprinos, Porcinos y Caninos."
GERMILAND E ORAL,"                              

16,000 Ul","Aves, Porcinos, Bovinos, Equinos Y Ovinos"
VIGOBEST AE ORAL,"

25,500 Ul
       15 Ul","Bovinos, Porcinos, Equinos y Ovinos"
HISTALAND INYECTABLE,"                                 

15 mg.","Bovinos, Equinos, Ovinos, Porcinos, Caninos y Felinos"
TIMPALAND,"                              

30 g.","Bovinos, Ovinos, Caprinos y Equinos"
MAIZ VITAMINICO (TABLETAS),"

    4 mcg.
  12 mcg.
    20 mg.
    30 mg.
      5 mg.
      5 mg.
      1 mg.
   0.5 mg.
1,000 Ul.
   100 Ul.
    10 mg.
      6 Ul.",Aves
ALBENDABEST,"                              

15 g.",Bovinos y Ovinos
CURALAND,"

0.50 g
0.50 g
0.50 g
3.10 g",No informa
CALOXFEN,"         

15 g.","Bovinos, Ovinos y Equinos."
CALMABEST 2:1,"                                  103,54 g                                    8 g                         20,45 g                82,5 g","Bovinos, Equinos, Porcinos y Ovinos"
CALIMAST LACTACIÓN,"
    
     2 g.
0,75 g.
0,04 g.",Bovinos
QUINOCALF 5% SOLUCIÓN INYECTABLE,"

50 mg.","Bovinos, Porcinos, Caninos y Felinos"
TRANQUIBEST,"                                           

10,0 mg.","Bovinos, Equinos, Caninos Y Felinos."
ANFLAGEC,"

  1 g.
  5 g.
  3 g.
10 g.
  3 g.",No informa
CITRAGAN ,"

0,50 g.
0,50 g.
0,50 g.
3,10 g.",No informa
SERVIGAN ORAL,"

30,000 Ul
12,500 Ul
50 Ul","Bovinos. Equinos, Porcinos, Ovinos y Caprinos."
CALOXOL,"                              

25 g.",Bovinos y Ovinos
YODOLAND TM,"

2,60 g.",No informa
CALIER DE LOS ANDES S.A,,
COMPLEBET,"

10 mg
5 mg
5 mg
50 µg
50 mg
5 mg","Bovinos, Caninos. Equinos, Ovinos y Porcinos "
ATROPINA SULFATO,"                                

1 mg.","Bovinos, Equinos, Porcinos y Caninos "
COMBIPEN,"                              

150,000 Ul         150,000 Ul             300 mg.","Bovinos, Equinos, Porcinos, Ovinos y Caninos"
UNGÜENTO SANACIEN,"

     1 g.
     3 g.
3,85 g.
0,55 g.",No informa
CYTA 12,"                                

11 mg.","Bovinos, Equinos, Porcinos, Ovinos, Caninos Y Felinos."
TYLOSAND (POLVO) SOLUBLE,No informa,Aves
CHAMPÚ BRILLO,"


500 mg.",No informa
GUAYACOLATO DE GLICERILO,"

50 mg.
50 mg.",Equinos 
FOSFOMIN INYECTABLE,"


250 mg
0,333 mg
25 mg","Bovinos, Equinos, Porcinos, Caprinos y Ovinos"
OXITETRACICLINA 100 MG/ML,"                                    

100 mg","Bovinos, Ovinos Y Porcinos"
TERMINATOR ,"

15 g",Bovinos
MARKANIMAL,7.2 %               30.0 %              62.8 %                            ,No informa
AVIPURGA,                        50 mg.                   200 mg.,Aves   
VITAMILAND POLVO SOLUBLE ,                                    5.000.000 U.Il      500.000 U.I      7.000 U.I          3.000 mg.              500 mg.                2.000 mg.             2.000 mg.               4.5 mg.                  7.500 mg.                45.000 mg.              3.500 mg.                         3.000 mg.,Aves
CANILAND,                                  7.5 g.,Caninos
LEXUS,                                15 g.,Bovinos
OXITETRACICLINA ,                                50 mL.,"Bovinos, Equinos, Porcinos, Ovinos y Caninos."
AVINEOL,                                  18  g.                          18 g.                  ,Porcinos y Aves
YODOTRON,                                      17.4%                    15 %                       2.6%,No aplica
DORTUMIX ,                             25 g.,Aves
VITA E,                               60.000 Ul              12.000 Ul,Bovinos
PENTRIBEST R.L.A,                                                                                                                                         125.000 U.I                                                                                         93.750 U.I.                                                                                          93.750 U.I                                                     ,"Bovinos, Equinos, Porcinos, Ovinos y Caninos"
MULTICYT,50.000.000UI.                                    10 mg               5 g                        10 g                         2 g                         1 g                        1 g                          1 g,"Equinos, porcinos, ovinos y bovinos"
NICARVIC ,"


                                              25 g.",Aves
                 TREBAC RETARD,                                     200 mg.,"Bovinos, Porcinos y Ovinos"
HISTABEST,                                               15.0 mg.,"Bovinos, Ovinos, Equinos, Porcinos, Caninos y Felinos"
VIGOBEST A INYECTABLE,"


500.000 U.l.","Bovinos, Equinos, Porcinos, Ovinos, Caprinos, Caninos y Felinos"
MASTIVEM SECADO,"



500 mg.
250 mg.",Bovinos
AVIMITAN,                                    255.000 Ul            25.000 Ul             375 Ul                   27 mg.                        100 mg.              75 mg.                250 mg.                   380 mg.                     160 mg.                  7.5 mg.                180 mg.                  2600 mg.                1300 mg.               2000 mg.                 1400 mg.                1300 mg.                1300 mg.,Aves
SUERO FISIOLÓGICO,                                 900 mg.,No informa
MASTIVEM LACTATION,"



200 mg.
75 mg.","Bovinos, Caprinos y Porcinos"
LEVERCALL 7.5 %,                               75 mg.,"Bovinos, Ovinos y Caprinos"
LEVERCALL 15%,"


150 mg.","Bovinos, Ovinos y Caprinos."
GANAVIT A 500,                                        500.000 U.l.          50 U.l.,"Bovinos, Equinos, Porcinos, Ovinos y Caprinos"
FENVIZOLE ,"


4 g.","Aves, Bovinos, Porcinos y Equinos"
AVICICLINA ,                                 80 g.,Aves 
ALBENDAVEM 25 Co,"


25 g.",Bovinos y Equinos
AVIYODOX,"
26.5 g.",No aplica 
MIXTURA COOPERS,                              0.440 g.                    0.327 g.              1.197 g.                 1.102 g.                    0.135 g.                   1.802 g.,"Bovinos, Equinos, Caprinos, Porcinos y Caninos"
CAPISOLE,"


90 g.",Aves
ENROCICLINA,"


10 g.",Aves
CLORAVIC,                              80 g.,Aves y Porcinos
DESIDINE MK,"                                   27,53 g              14,45 g                        9,07 g",No aplica
TYLOVEM (POLVO SOLUBLE),                                     100 g.,Aves y Porcinos
AURO JABÓN,                                      1.00 g.,"Equinos, Caninos y Felinos"
AURO CHAMPÚ,                                  10 mg.,    No informa
STROGEN,                                   2.5 g.,"Bovinos, Equinos, Porcinos y Caninos"
NIDOKAP,                               35.0 g.,No aplica
NICARBCOX,                               25 g.,Aves
COXIPROL E,                                250 g.                    16 g.,Aves
NUTRI-ZOO,"


60.000 Ul.
6.000Ul.
60 Ul.
84 mg.
42 mg.
42mg.
250 mcg.
252 mg.
400 mg.
10 g.
228 mg.
",Caninos y Felinos
EQUILAND,                                    35.0 g.,Equinos
COCCIBEST,                                  47.5 g.,"Aves, Conejos y Bovinos."
"BENZAPROC 7,5","


125.000 U.l.
93.750 U.l.
93.750 U.I.","Bovinos, Caprinos, Equinos, Ovinos y Porcinos. "
AMPIBEST A,                                   3.1 g.,"Aves, Equinos, Porcinos, Caninos y Felinos "
TEMISOL INYECTABLE ,                                150 mg.,"Bovinos, Ovinos y Porcinos"
BENZILBEST L.A,"


300.000Ul.","Bovinos, Equinos, Porcinos, Ovinos y Caninos"
DYNAMUTILIN PREMEZCLA MEDICADA 10 %,                                     10.0 g.,Porcinos y Aves
DENEGARD 25 %,"


25 g.","Porcinos, aves y conejos"
OFTALMOSYN,                               3 mg.                      1 mg.                       5 mg.,Caninos y Felinos
UFENELLE SUSPENSION ORAL,"


100 mg.",Bovinos y Equinos
PIRACAN,"



25 mg.",Caninos y Felinos
SULFAPROL,                                    16.67 g.                 16.67 g.,Aves
COXIPROL BOVINOS,                              20 g.,Bovinos
MASTILAC ,"


200 mg.
500 mg.
4 mg.",Bovinos
SULFACOCCIDIOL ,"


166.7 mg.
166.7 mg.",Bovinos y Ovinos
ESPECIFICO MARAVEDI,"


48.10 g.",No aplica
COXIPROL AVÍCOLA,                               20 g.,Aves
ENROFLAND ORAL,"


100 mg.",Aves
FEN 5,                                 0.080 g.                 100 mcg.,"Bovinos, Equinos, Porcinos y Caninos"
RODOMIX,,
NORMIN,"


50 mg","Bovinos, Equinos, Ovinos y perros"
MARAVERRAPIDO N.F,,
PANACUR POLVO 4%,,
HEMATOPAN B 12,,
MASTIPREVENT,7%,Bovinos
HEMOKAT INYECTABLE ,                                 10 mg.,"Bovinos, Equinos, Porcinos, Caninos, Felinos y Aves"
SOLVET ,                                    0.056 g.   18.95 g.                     5.82 g.                 0.38 g.                    8.33 g.                     7.78 g.                    0.34 g.                 ,Aves
SANUCH POLVO ,"


97 g.","Bovinos, Equinos, Caprinos y Porcinos"
VITACOTIR GOTAS,                                 100 mg.                1500 Ul                3 mg.                     2 mg.                      5 mg.                   1 mg.                      15 mcg.,Caninos
HEMAVET B12 ORAL ,                                 150 mg.              72 mg.                72 mg.                  320 mcg.                2200 mg.              200 mg.                45 mg.                 1000 mg.               100 mg.                  100 mg.                  1800 mg.               ,"Bovinos, Equinos, Porcinos, Ovinos, Caprinos, Caninos, Felinos y Aves "
CIRUPHAR ,"


100 mg.",Felinos y Primates no humanos
RESUPRAM,                                  20.0 mg.,"Equinos, Caninos y Felinos"
NOVACAN CACHORROS ,"


8 g.",Caninos
TATTOOANIMAL,                               0.5 g.                      0.2 g.                        15.0 g. ,No aplica
MEVER C.,                               200 mg.,Caninos y Felinos
MEVER B.,                              20 mg.,"Bovinos, Ovinos, y Caprinos"
KEMIVIT INYECTABLE ,                                   15.000 Ul              1.000 Ul             20 mg.                 10 mg.                   3 mg.                     5 mg.                      35 mg.                   25 mg.                   50 mg.,"Bovinos, Equinos, Porcinos, Ovinos, Caninos  y Felinos"
EMIVEM 50,"


50 mg.
","Bovinos, Equinos, Porcinos, Ovinos, Caprinos y Caninos"
EMIVEM 100 L.A,                               100 mg.,"Bovinos, Equinos, Porcinos, Ovinos, Caprinos, Caninos, Felinos y Aves"
EVIMEN 200 L.A,"


200 mg.

","Bovinos, Equinos, Ovinos, Caprinos y Aves"
PARATIZOLE ,                                 15 g.,Bovinos y Ovinos
FARTRIM INYECTABLE ,                                  40 mg.                  200 mg.,"Bovinos, Ovinos, Equinos, Porcinos, Caninos y Felinos"
ENROVET INYECTABLE 10%,"


100 mg.","Bovinos, Porcinos, Caninos y Felinos"
FLUMASTIN,"


200 mg.
200 mg.
0.250 mg.",Bovinos
ADICAN ,35%,Caninos
XYLENOL A,                              4 mg.                     500 mg.,"Bovinos, Equinos, Porcinos, Ovinos, Caprinos, Caninos y Felinos"
BOLDEFOX,"


50.0 mg","Bovinos, Caninos, Equinos y Porcinos."
CASCOLAND,                                95.0 g.                  5.0 g.,"Bovinos, Ovinos, Porcinos y Caprinos"
MAXICOX,                               100 g.                    125 g.,Aves
BOLDENOVA,                                   50 mg.,"Bovinos, Equinos, Porcinos y Caninos"
SANCILLIN,                                  300.000 Ul,"Bovinos, Equinos, Ovinos, Porcinos, Caninos y Felinos"
YODOFOX,                                2.60 g.,No aplica
ROFLAXIVEM 10 %,                               10 g.,Aves
FARMODINE,"


2.6 g.","No aplica
"
YODOPOLIVINILPIRROLIDONA,                                30.0 g.,No aplica
FLORAVEN - DEXTROSA,                                                                    1.0 g.                     2.0 g.                                              5.0 g.                       2.5 g.                  1.0 g.                          1.0 g.                         5.0 g.                       ,"Aves, Bovinos, Equinos, Porcinos, Ovinos y                         Conejos"
