No REGISTRO,FECHA OTORGADO REGISTRO Y No RESOLUCION,FECHA MODIFICACION  Y Nª RESOLUCION,NOMBRE DEL PRODUCTO,NOMBRE EMPRESA,INGREDIENTE ACTIVO,CONCENTRACION,CAT TOXIC,CLASE DE PRODUCTO,TIPO FOR.,PAIS DE ORIGEN DEL PRODUCTO FORMULADO,CULTIVO,Name
94,14-02-2005/ 0417,"19-10-2006/ 2840
07-04-2017/ 4079
31-05-2017/ 6577",DANIR 48 SC,ANASAC COLOMBIA LTDA,METRIBUZINA,480 g/L,III,HERBICIDA,SC,CHILE CHINA,"ZANAHORIA, SOYA,  PAPA, TOMATE,  AJI, BERENJENA,
LULO,  PIMENTON,  TOMATE DE ARBOL, UCHUVA,  AJI DULCE",Table_3
95,03-03-2005/ 0542,"16/11/2007/ 3017
25-07-2012/ 2283
15-07-2013/ 3165
16-10-2015/ 3683",CARBENDAZIM 500 SC PHYTOCARE,PHYTOCARE  S.A.S,CARBENDAZIM,500 g/L,III,FUNGICIDA,SC,CHINA,"BANANO, ARROZ, UCHUVA, LULO,  AJI, PIMENTON,
BERENJENA,
AJI DULCE,TOMATE",Table_3
96,08-03-2005/ 0592,"16-12-2011/ 4925
25-07-2012/ 2292
15-05-2020/ 067875",CANTUS® WG,BASF QUIMICA COLOMBIANA S.A,"BOSCALID
14 de 365",500 g/kg,III,FUNGICIDA,WG,"ALEMANIA, BRASIL","ROSA, TOMATE, ZANAHORIA, CEBOLLA BULBO, CAFÉ",Table_3
97,02-05-2005/ 1236,02-12-2015/ 1924,PAPYRUS 100 WP,ROTAN AGRO        COLOMBIA S.A.S,PYRAZOSULFURON ETIL,100 g/kg,III,HERBICIDA,WP,CHINA,ARROZ,Table_3
98,15-03-2005/ 0887,"22-02-2019/ 1705
15-07-2019/ 9808
02-09-2020/ 074656",BENGALA 25 OD,DOW AGROSCIENCES DE COLOMBIA S.A,PENOXSULAM,"25 g/L
10 g/L",III,HERBICIDA,OD,ESTADOS UNIDOS,ARROZ,Table_3
99,28-03-2005/ 1071,"REGISTRO CANCELADO CON RESOLUCION
No 069507 DEL 08 DE
JUNIO DE 2020",BUTYL 600 EC,TECNOQUIMICAS  S.A,BUTACLOR,600 g/L,III,HERBICIDA,EC,CHINA,ARROZ,Table_3
100,31-03-2005/ 1088,18-04-2006/ 0978,SAAT MUSIC 400 FS,SAAT ANDINA S.A.,CARBOXIN +  THIRAM,"200 g/L
200 g/L",II,FUNGICIDA,FS,CHINA,"ARROZ,ALGODON",Table_3
101,08-04-2005/ 1116,17-08-2006/ 2287,SAAT DANZA 70 WS,SAAT ANDINA S.A.,IMIDACLOPRID,0.7,III,INSECTICIDA,WS,CHINA,"ARROZ, ALGODON",Table_3
102,20-04-2005/ 1192,"21-09-2007/ 2587
23-04-2013/ 1837",IMAXI® 350 SC,ROTAM AGROCHEMICAL COLOMBIA S.A.S,IMIDACLOPRID,350 g/L,II,INSECTICIDA,SC,CHINA,"ARROZ,ROSA, TOMATE",Table_3
103,21-04-2005/ 1204,"23-09-2011/ 3800
14-02-2014/ 521
14-06-2016/ 7049
20-05-2019/ 6749
REGISTRO CANCELADO CON RESOLUCION No 072726 DEL 05-08-2020
15-09-2020/ 075470
ACLARA RES 072726 del 05
de",GLISTEC 100® SC,TECNOQUIMICAS  S.A,"BISPYRIBAC SODIUM
15 de 365",100 g/L,III,HERBICIDA,SC,CHINA COLOMBIA,ARROZ,Table_3
104,NO EXISTE EN LA BASE DE DATOS,,,,,,,,,,,Table_3
105,18-04-2005/ 1180,02-05-2019/ 5870,MANCOXANIL AGROGEN 720 WP,NUFARM COLOMBIA S.A,MANCOZEB +             CYMOXANIL,64% g/kg         8% g/kg,III,FUNGICIDA,WP,CHINA INDIA,"PAPA,TOMATE, VID,,CEBOLLA",Table_3
106,03-05-2005/ 1282,"13-03-2012/ 596
02-05-2019/ 5863",IMPULSE® EC 800,BAYER S.A,SPIROXAMINA,800 g/L,II,FUNGICIDA,EC,COLOMBIA,BANANO,Table_3
107,21-04-2005/ 1202,"02-09-2011/ 3511
08-05-2016/ 5662
05-03-2018/ 21397
25-11-2019/ 18876",ATAFURIN® 60 WG,TECNOQUIMICAS  S.A,METSULFURON METIL,600 g/kg,III,HERBICIDA,WG,CHINA,"PALMA DE ACEITE, PRADERAS",Table_3
108,03-05-2005 / 1279,"12-08-2010/ 2548
02-08-2018/ 29364",DILIGENT® 720 WP,ROTAM AGROCHEMICAL COLOMBIA S.A.S,METALAXIL + MANCOZEB,80 - 640 g/kg,II,FUNGICIDA,WP,CHINA,"PAPA, ROSAS, TOMATE, PIÑA",Table_3
109,03-05-2005/ 1261,"28-10-2005/ 3089
06-09-2013/ 3863
25-09-2015/ 3450",GOLPE 50 EC,ANASAC COLOMBIA LTDA,LAMBDA CIHALOTRINA,50 g/L,II,INSECTICIDA,EC,CHILE,"ARROZ, PASTOS",Table_3
110,03-05-2005/ 1258,"05-10-2011/ 3869
03-12-2012/ 5266
13-05-2014/ 1322
31-08-2016/ 11107",PERSIST* 500 SC,DOW AGROSCIENCES DE COLOMBIA S.A,"MANCOZEB +           CIMOXANIL
16 de 365","462 g/lL,
63,4 g/L",III,FUNGICIDA,SC,COLOMBIA BRASIL,"PAPA, TOMATE, ROSAS, CEBOLLA BULBO",Table_3
112,03-05-2005/ 1255,"12-06-2015/ 1930
06-08-2020/ 072835",EVOPYR 100 SC,UPL COLOMBIA S.A.S.,BISPYRIBAC SODIO,100 g/L,II,HERBICIDA,SC,CHINA,ARROZ,Table_3
113,19-05-2005/ 1332,"07-05-2008/ 1332
23-04-2015/ 1238
11-11-2016/ 15920
27-07-2019/ 10992",METSULFED 60 WG,"FEDERACION NACIONAL DE ARROCEROS     ""FEDEARROZ""",METSULFURON METIL,600 g/kg,III,HERBICIDA,WG,ESPAÑA CHINA INDIA COLOMBIA,ARROZ,Table_3
114,16-05-2005/ 1414,"15-05-2007/ 1220
05-12-2016/ 18045",EVOPRID 35 SC,UPL COLOMBIA S.A.S.,IMIDACLOPRID,350 g/L,II,INSECTICIDA,SC,CHINA REINO UNIDO,"ALGODÓN, TOMATE, ARROZ, TABACO",Table_3
115,10-05-2005/ 1378,"03-05-2011/ 1862
21-04-2015/ 1200
21-04-2015/ 1204",MANCOZEB VECOL 80% WP,VECOL S.A,MANCOZEB,800 g/kg,III,FUNGICIDA,WP,CHINA,"PAPA, TOMATE, ARROZ",Table_3
116,27-05-2005/ 1513,"16-04-2009/ 1459
25-09-2014/ 3068
23-08-2016/ 10482
25-11-2019/ 18865",TERRAZOLE 35% WP,ARYSTA LIFESCIENCE COLOMBIA S.A.S,ETRIDIAZOLE,350 g/kg,III,FUNGICIDA,WP,ESTADOS UNIDOS CANADA,"CRISANTEMO, ROSAS",Table_3
117,21-06-2005/ 1822,"13-03-2012/ 597
01-07-2014/ 2010
27-08-2014/ 2666",ROMETSOL® 600 WG,ROTAM AGROCHEMICAL COLOMBIA S.A.S,METSULFURON METIL,600 g/kg,III,HERBICIDA,WG,CHINA,"ARROZ, POTREROS",Table_3
118,19-05-2005/ 1456,"01-02-2012/ 0213
01-09-2015/ 3071
23-05-2016/ 5975
28-03-2019/ 3606",OXATOP® 250 EC,ROTAM AGRO COLOMBIA S.A.A.,"OXADIAZON
17 de 365",250 g/L,II,HERBICIDA,EC,CHINA,ARROZ,Table_3
119,23-05-2005/ 1471,"20-08-2015/ 2897
23-05-2016/ 5976
28-03-2019/ 3605",OXATOP 380 SC,ROTAM AGRO COLOMBIA S.A.S,OXADIAZON,380 g/L,II,HERBICIDA,SC,CHINA,ARROZ,Table_3
120,15-06-2005/ 1757,"24-04-06/ 1015
28-02-2014/ 707",ESTELAR™ 648 SL,DOW AGROSCIENCES DE COLOMBIA S.A,GLIFOSATO,648 g/L,II,HERBICIDA,SL,COLOMBIA,ARROZ,Table_3
121,31-05-2005/ 1522,"30-05-2008/ 1717
22-10-2014/ 3417
24-04-2020/ 066038
11-08-2020/ 073047",MET-MET 600 WG,UPL COLOMBIA S.A.S.,METSULFURON METIL,600 g/kg,III,HERBICIDA,WG,"CHINA REINO UNIDO I
INDIA","ARROZ, TRIGO, CEBADA, PALMA DE ACEITE",Table_3
122,29-06-2005/ 1929,"26-08-2011/ 3444
18-03-2015/ 803
11-11-2019/ 18010",ARROW 240 EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,CLETHODIM,240 g/L,II,HERBICIDA,EC,COLOMBIA,ALGODÓN,Table_3
123,13-06-2005/ 1731,"08-08-2008/ 2723
04-12-2012/ 5282
23-08-2016/ 10478
09-02-2017/ 1197
25-11-2019/ 18838",CARBOVAX® TS,ARYSTA LIFESCIENCE COLOMBIA S.A.S,CARBOXIN THIRAM,"200 g/L            200
g/L",III,FUNGICIDA,FS,ESTADOS UNIDOS CANADA,"ARROZ, PAPA",Table_3
124,13-06-2005/ 1733,"23-08-2008/ 3681
23-08-2016/ 10483
20-02-2017/ 1693
28-06-2019/ 8781
22-07-2020/ 071940",CARBOVAX,ARYSTA LIFESCIENCE COLOMBIA S.A.S,CARBOXIN + THIRAM,"200 g/L
200 g/L",II,FUNGICIDA,SC,ESTADOS UNIDOS CANADA,"POMPON, ROSA, FRIJOL",Table_3
125,23-05-2005/ 1472,"05-10-2011/ 3870
20-10-2015/ 3743
02-03-2016/ 2024
11-06-2019/ 7815",SUCCESS GF-120™ 0.02 CB,DOW AGROSCIENCES DE COLOMBIA S.A,"SPINOSAD
18 de 365",0.24 g/L,III,INSECTICIDA,CB,ESTADOS UNIDOS,"MANGO, CIRUELA, ZAPOTE, GUAYABA, FEIJOA, ALMENDRO, GRANADILLA, NISPERO, BANANO, CIRUELO, MARACUYA, DURAZNO",Table_3
126,14-06-2005/ 1744,"07-07-2009/ 2546
14-09-2015/ 3257
20-06-2017/ 7446
12-10-2018/ 34197",METSULFEX 60 WG,CIBOCHEM S.A.S,METSULFURON METIL,0.6,III,HERBICIDA,WG,ESPAÑA,ARROZ,Table_3
127,15-07-2005/ 2085,"12-04-2011/ 1654
22-11-2013/ 4904
01-07-2014/ 2014
27-03-2015/ 1013
22-08-2018/ 30513
09-09-2019/ 13985",ARROW® 120 EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,CLETHODIM,120 g/L,II,HERBICIDA,EC,COLOMBIA,"ALGODÓN, CEBOLLA BULBO, SOCAS DE MAIZ, SOYA, PIÑA,,PALMA DE ACEITE",Table_3
128,21-06-2005/ 1820,"13-03-2012/ 602
15-05-2020/ 067873",ACARAMIK® 1.8 EC,ROTAM AGROCHEMICAL COLOMBIA S.A.S,ABAMECTINA,18 g/L,II,INSECTICIDA,EC,CHINA,"CEBOLLA, ROSAS, NARANJA, LIMA, LIMON, MANDARINA, TANGELO,
TORONJA",Table_3
129,15-06-2005/ 1756,"31-01-2011/ 519
21-04-2015/ 1202
12-12-2019/ 20328",METSULFURON VECOL 60% WG,VECOL S.A,METSULFURON METIL,600 g/kg,III,HERBICIDA,WG,CHINA,"ARROZ, POTREROS",Table_3
130,"16-06-2005/ 1785
03-09-2020/ 074745","30-05-2008/ 1716
22-10-2014/ 3412
17-12-2019/ 20924",EVOXON 38 SC,UPL COLOMBIA S.A.S.,OXADIAZON,380 g/L,II,HERBICIDA,SC,CHINA INDIA,"ARROZ, ALGODÓN, SOYA",Table_3
131,15-06-2005/ 1750,"19/08/2015/ 2871
26-04-2016/ 4561
24-04-2020/ 066023",CROPZIM®500 CS,ROTAM AGROCHEMICAL COLOMBIA S.A.S,CARBENDAZIM,500 g/L,II,FUNGICIDA,SC,CHINA,"ARROZ, HORTALIZAS, ARVEJA, FRESA,
PLATANO,,SORGO  ORNAMENTALES",Table_3
132,17-06-2005/ 1811,,SAAT QUARTETTO 250 EC,SAAT ANDINA S.A.,"OXADIAZON
19 de 365",250 g/L,II,HERBICIDA,EC,CHINA,ARROZ,Table_3
133,14-07-2005/ 2075,"27-05-2008/ 1663
22-10-2014/ 3411
19-09-2016/ 12504
17-12-2019/ 20926",METHOX 40 SP,UPL COLOMBIA S.A.S.,METOMYL,400 g/kg,IB,INSECTICIDA,SP,REINO UNIDO CHINA,"ALGODÓN, ARROZ, AJONJOLI, COL, REPOLLO, COLIFLOR, MAIZ, SORGO, PAPA, SOYA,FRIJOL, PALMA AFRICANA, COCOTERO, PLATANO, BANANO,TABACO, ROSA",Table_3
134,15-07-2005/ 2088,20-01-2020/ 60529,ARBUSKIP 101 SL,DOW AGROSCIENCES DE COLOMBIA S.A,"PICLORAM  + 2,4-D","64 g/L
240 g/L",III,HERBICIDA,SL,COLOMBIA,"POTREROS, ARROZ",Table_3
135,18-07-2005/ 2092,"21-06-2012/ 1804
11-04-2013/ 1747
20-03-2019/ 3160",TORIDE 10 SC,VALENT BIOSCIENCES  LLC,IMAZOSULFURON,100 g/L,II,HERBICIDA,SC,JAPON,ARROZ,Table_3
136,14-07-2005/ 2081,,FAITER SL,AGROSER  S.A,"GLIFOSATO + 2,4-D AMINA",120 -160 g/L,III,HERBICIDA,SL,VENEZUELA,AREAS NO CULTIVADAS,Table_3
137,06-07-2005/ 1958,"07-10-2005/ 2882
21-11-2012/ 4761",SAAT RAP 250 EC,SAAT ANDINA S.A.,TEBUCONAZOLE,250 g/L,II,FUNGICIDA,EC,REPUBLICA POPULAR CHINA,"CEBOLLA CABEZONA, ARROZ, CEBOLLA LARGA, CEBOLLIN, CEBOLLIN CHINO,  VAR LAURENTIANUM, ,,VAR IBIRICUM ,VAR SCHOENNOPRASUM,  PUERRO",Table_3
138,04-05-2006/ 1111,"21-09-2009/ 3555
17-09-2015/ 3287",HERBIMEX 720 SL,CIBOCHEM S.A.S,"2,4-D",598 g/L,II,HERBICIDA,SL,ESPAÑA,POTREROS,Table_3
139,15-07-/2005/ 2086,"29-05-2008/ 1687
18-11-2016/ 16420",EVOXON 25 EC,UPL COLOMBIA S.A.S.,"OXADIAZON
20 de 365",250 g/L,II,HERBICIDA,EC,REINO UNIDO CHINA,ARROZ,Table_3
140,30-11-2005/ 3485,"01-11-2011/ 4152
22-10-2012/ 4076
25-09-2014/ 3069
30-03-2020/ .064697",TOUCHDOWN® IQ SL,SYNGENTA S.A,GLIFOSATO,500 g/L,III,HERBICIDA,SL,COLOMBIA BELGICA CHINA,"MAIZ, PAPA, CAFÉ, ARROZ, PASTOS, BANANO, PLATANO,
PALMA DE ACEITE,  CAUCHO",Table_3
141,01-08-2005/ 2225,"18-07-2007/ 1969
11-02-2014/ 502
17-11-2019/ 18389",EVOZIM 500 SC,UPL COLOMBIA S.A.S.,CARBENDAZIM,500 g/L,III,FUNGICIDA,SC,REINO UNIDO CHINA,"ARROZ,BANANO,CAFÉ PIMENTON,TOMATE,
APIO,REPOLLO,FRIJOL,CEBOLLA,ZANAHORI A, PEPINO,MELON,SORGO,CLAVEL,ROSA,FRES A,
GUANABANA,YUCA, CACAO,MANGO,ARVEJA,PIÑA",Table_3
142,29-08-2005/ 2524,27-03-2015/ 1018,UNDAZOL,CIBOCHEM S.A.S,PROPICONAZOL,250 g/L,II,FUNGICIDA,EC,ESPAÑA,"ARROZ, PLATANO, BANANO,CEBADA, CAFÉ",Table_3
143,14-09-2005/ 2722,,CELEBRITY 25 EC,SUCROP S.A.,OXADIAZON,250 g/L,III,HERBICIDA,EC,ESPAÑA,ARROZ,Table_3
144,14-09-2005/ 2720,04-02-2008/ 0251,GLIFOGEN 480 SL,NUFARM COLOMBIA S.A,GLIFOSATO,480 g/L,III,HERBICIDA,SL,CHINA,"CAÑA DE AZUCAR
AREAS FORESTALES Y CULTIVOS FRUTALES, PLATANO, BANANO, PALMA AFRICANA",Table_3
145,26-07-2005/ 2167,"15-03-2011/ 1344
17-03-2015/ 768
26-11-2019/ 19031",CARBENDAZIM VECOL 500 SC,VECOL S.A,CARBENDAZIM,500 g/L,III,FUNGICIDA,SC,CHINA,"ARROZ, ROSA",Table_3
146,14-09-2005/ 2723,,HERBANEE 100 SC,UNDAGRO S.A.,BISPYRIBAC SODIUM,100 g/L,III,HERBICIDA,SC,CHINA,ARROZ,Table_4
147,18-08-2005/ 2425,"26-10-2008/ 2879
09-05-2019/ 6154",TURBINE 50 WG,ISHIHARA COLOMBIA LTDA,FLONICAMID,0.5,III,INSECTICIDA,WG,ESTADOS UNIDOS,"ALGODÓN, ROSA",Table_4
148,29-08-2005/ 2523,,CARBEDAZIM OMA 500 SC,QUIMICOS OMA LTDA,CARBENDAZIM,500 g/L,III,FUNGICIDA,SC,ESPAÑA,"ARROZ,ALVERJA,  BANANO, CACAO, CAFETO, CLAVEL,
FRESA, FRIJOL, HORTALIZAS , GUANABANO, MANGO, MELON, PEPINO, PIMENTON, PIÑA TOMATE, YUCA",Table_4
149,19-08-2005/ 2497,"28-04-2012/ 1826
10-09-2015/ 3219
08-08-2018/ 29694
06-11-2018/ 35581
10-12-2019/ 19953",RODIFON 25 EC,ROTAM  AGROCHEMICAL COLOMBIA S.A.S,TRIADIMEFON,250 g/L,II,FUNGICIDA,EC,CHINA TAIWAN COLOMBIA,"ARROZ, ROSAS, CAFE",Table_4
150,14-08-2006/ 2237,"09-11-2006/ 2989
09-03-2011/ 1221",CLABE ® ZEB 80 WP,RED SURCOS COLOMBIA LTDA,MANCOZEB,800 g/kg,III,FUNGICIDA,WP,INDIA,PAPA,Table_4
151,12-09-2005/ 2695,"08-10-2012/ 3827
07-09-2019/ 13939",PROPLANT® SL,ISAGRO COLOMBIA S.A.S,PROPAMOCARB HCL,722 g/L,II,FUNGICIDA,SL,BELGICA BULGARIA CHINA,PAPA,Table_4
152,28-09-2005/ 2821,03-03-2010/ 0924,MARTE,AGRO S.A.,"OXADIAZON
22 de 365",250 g/L,III,HERBICIDA,EC,ESPAÑA,ARROZ,Table_4
153,06-09-2005/ 2577,"15-03-2011/ 1356
29-11-2012/ 5243
17-09-2015/ 3290
04-05-2020/ 066714",POWEREX® 250 EC,CIBOCHEM S.A.S,PROPICONAZOLE,250 g/L,II,FUNGICIDA,EC,"ESPAÑA, INDIA","BANANO, MAIZ, CAFÉ, CEBOLLA CABEZONA, CEBOLLA LARGA, CEBOLLIN CEBOLLIN CHINO, PUERRO",Table_4
154,18-08-2005/2426,"12-04-2007/ 0867
29-01-2014/ 409
11-08-2016/ 1022
19-12-2016/ 19344
21-08-2020/ 073989",METHOX 216 SL,UPL COLOMBIA S.A.S.,METOMYL,216 g/L,IB,INSECTICIDA,SL,REINO UNIDO CHINA INDIA,"ALGODÓN,SORGO, ARROZ, ,PAPA, SOYA, MAIZ",Table_4
155,08-09-2005/ 2587,"10-05-2010/ 1578
13-03-2012/ 594
01-04-2013/ 1573",JUWEL® SC,BASF QUIMICA COLOMBIANA S.A,EPOXICONAZOLE + KRESOXIM METHYL,"125 g/L
125 g/L",II,FUNGICIDA,SC,ALEMANIA ESPAÑA BRASIL FRANCIA,ARROZ,Table_4
156,01-09-2005/ 2539,03-10-2013/ 4108,PENDIMETALINA 330 EC AGROSER,AGROSER  S.A,PENDIMETALINA,330 g/L,III,HERBICIDA,EC,VENEZUELA CHINA,ARROZ,Table_4
157,16-09-2005/ 2742,"24-12-2007/ 3729
27-11-2012/ 5143
07-05-2015/ 1363
25-06-2015/ 2035
17-09-2019/ 14489",BLIFEX TREEBAGS,FMC COLOMBIA S.A.S,BIFENTRIN,1.0 g/kg,II,INSECTICIDA,BOLSAS  DE POLIETILENO,GUATEMALA ECUADOR  COLOMBIA,BANANO,Table_4
158,26-09-2005/ 2801,"30-11-2010/ 3980
18-11-2016/ 16411
19-02-2019/ 1542",PALADIN 100 SC,TRUST QUIMICA S.A.S,BISPYRIBAC SODIUM,100 g/L,II,HERBICIDA,SC,CHINA,ARROZ,Table_4
159,31-10-2005/ 3098,"26-12-2014/ 4615
21-09-2016/ 12614
19-02-2019/ 1542
30-05-2019/ 7296",SILVER 350 SC,TRUST QUIMICA S.A.S,"IMIDACLOPRID
23 de 365",350 g/L,II,INSECTICIDA,SC,CHINA,"ARROZ, ROSA, PASTOS",Table_4
160,31-10-2005/ 3099,"26-12-2014/ 4623      09-11-
2016/ 15712
19-02-2019/ 1542
07-09-2019/ 13938",FOSTER 250 EC,TRUST QUIMICA S.A.S.,PROPICONAZOL,250 g/L,II,FUNGICIDA,EC,CHINA,"ARROZ, ,BANANO",Table_4
161,19-10-2005/ 2984,"14-10-2008 / 3511
16-10-2014/ 3263
11-04-2019/ 4699
12-02-2020/ 61946
03-09-2020/ 074746",EVOXYL® 72 WP,UPL COLOMBIA S.A.S.,METALAXIL +   MANCOZEB,"80 g/kg
640, g/kg",III,FUNGICIDA,WP,"CHINA REINO UNIDO
INDIA","PAPA, ROSAS",Table_4
162,26-09-2005/ 2802,"16-11-2010/ 3629
04-12-2012/ 5286
08-08-2014/ 2397
22-07-2019/ 10461",ENGEO®,SYNGENTA S.A,THIAMETOXAN + LAMBDA- CYHALOTRIN,"141 g/L
106 g/L",II,INSECTICIDA,SC,"SUIZA BRASIL ESTADOS
UNIDOS","CEBOLLA DE BULBO, PAPA, TOMATE,  FRIJOL, ROSA,
ESTRAGON, CLAVEL, ARROZ, PALMA AFRICANA, ALGODÓN, CRISANTEMO, POMPON, ASTROMELIA,
GERBERA, CLAVEL, PASTURAS, NARANJA, CAFÉ,
MANDARINA, MARACUYA, SOYA, LIMON, LIMA, TANGELO,TORONJA, CEBADA",Table_4
163,27-09-2005/ 2815,19-04-2010/ 1371,MENTOR,COLINAGRO S.A,IMIDACLOPRID,350 g/L,III,INSECTICIDA,SC,ESPAÑA,"ALGODÓN, ARROZ,  PASTO, TOMATE, TABACO, ,ROSA,
CRISANTEMO",Table_4
164,27-09-05/ 2817,"24-10-2011/ 4091
25-05-2015/ 1754
25/10/2019/ 17116",IMIDACLOPRID VECOL 350 SC,VECOL S.A,IMIDACLOPRID,350 g/L,II,INSECTICIDA,SC,CHINA,ROSA,Table_4
165,07-10-2005/ 2880,"08-01-2015/ 0043
09-11-2016/ 15717
19-02-2019/ 1542",TALISMAN 80 WP,TRUST QUIMICA S.A.S.,FOSETIL ALUMINIO,800 g/kg,III,FUNGICIDA,WP,CHINA,"TOMATE, PAPA, PIÑA, ROSA",Table_4
166,05-10-2005/ 2855,,CARBENDAGRO 500 SC,ROAGRO E. U.,CARBENDAZIM,500 g/L,III,FUNGICIDA,SC,ESPAÑA,ARROZ,Table1
167,11-10-2005/ 2897,,BUTACLOR ROAGRO 600 EC,ROAGRO E. U.,BUTACLOR,639 g/L,II,HERBICIDA,EC,ESPAÑA,ARROZ,Table1
168,21-10-2005/ 3016,"06/01/2015/ 0018
02-04-2020/. 064985",VIGILANT 80 WP,TRUST QUIMICA S.A.S.,MANCOZEB,800 g/kg,III,FUNGICIDA,WP,CHINA INDIA,"CAFÉ,  ARROZ,  CEBOLLA, FRIJOL ,LECHUGA,
PIMENTON,  AJI,  PAPA, REPOLLO, BROCOLI, COLIFLOR,  TOMATE, MANGO, PAPAYA,  VID",Table1
169,06-10-2005/ 2874,"09-03-2009/ 0744
27-03-2015/ 1026",TRYCICLAZOL VECOL 75% WP,VECOL S.A,TRICYCLAZOL,750 g/kg,III,FUNGICIDA,WP,CHINA,ARROZ,Table1
170,21-10-2005/ 3014,"26-12-2014/ 4620
09-11-2016/ 15681",VOIDER® 500 SC,TRUST QUIMICA S.A.S.,IPRODIONE,500 g/L,II,FUNGICIDA,SC,CHINA,"TOMATE, PAPA, CEBOLLA, ROSA",Table1
171,05-10-2005/ 2856,"26-12-2014/ 4629
02-12-2016/ 17874
01-06-2020/ 069062",FORDAZIM® 500 SC,TRUST QUIMICA S.A.S,CARBENDAZIM,500 g/L,II,FUNGICIDA,SC,CHINA,"SORGO, ARROZ,  BANANO, CAFÉ,  MELON, PIÑA,CACAO,
YUCA, MANGO, FRESA, ARVEJA, TOMATE, ROSA",Table1
172,02-11-2005/ 3117,"10-12-2007/ 3352
14-03-2016/ 2573
28-08-2020/ 074448",HELD 250 EC,HELM ANDINA S.A.S,"PROPICONAZOL
25 de 365",250 g/L,III,FUNGICIDA,EC,INDIA,"ARROZ, PLATANO, BANANO,CAFÉ, PIÑA",Table1
173,18-11-2005/ 3337,"25-02-2009/ 0698
30-10-2012/ 4267
04-12-2012 /5288",CARBENDAGEN 500 SC,NUFARM COLOMBIA S.A,CARBENDAZIM,500 g/L,III,FUNGICIDA,SC,INDIA,"ARROZ,ROSAS, TOMATE",Table1
174,18-11-2005/ 3343,"01-06-2012/ 1642
27-12-2012/ 5882",CUPROFIX DISPERSS 30 WG,ISAGRO COLOMBIA S.A.S,CALDO BORDELES MANCOZEB,"47.1 %,
34.5 %",III,FUNGICIDA,WG,FRANCIA,PAPA,Table1
175,13-10-2005/ 2922,"14-10-2011/ 3943
25-05-2015/ 1751
17-11-2019/ 18414",DIFENOPROPICONAZOL VECOL 500 EC,VECOL S.A,DIFENOCONAZOLE PROPICONAZOLE,"250 g/L
50 g/L",II,FUNGICIDA,EC,CHINA,"ARROZ, ALGODÓN, MAIZ",Table1
176,REGISTRO NACIONAL CANCELADO,,,,,,,,,,,Table1
177,11-10-2005/ 2899,16-10-2009/ 3924,HERBACLOR 600 EC,LABORATORIOS FARMACEUTICOS GENFAR S.A.,BUTACLOR,600 g/L,II,HERBICIDA,EC,ESPAÑA COLOMBIA,ARROZ,Table1
178,07-10-2005/ 2881,"31-01-2011/ 522
21-04-2015/ 1204
15-05-2015/ 1465",MANCOZEB + CYMOXANIL VECOL 72% WP,VECOL S.A,MANCOZEB + CYMOXANIL,"640 g/kg
80 g/kg",III,FUNGICIDA,WP,REPUBLICA POPULAR CHINA,"PAPA,TOMATE",Table1
179,14-10-2005/ 2940,"31-01-2011/ 517
25-03-2015/ 958
03-08-2020/ 072559",DIFENOCONAZOL VECOL 250 EC,VECOL S.A,"DIFENOCONAZOLE
26 de 365",250 g/L,II,FUNGICIDA,EC,CHINA,"TOMATE, YUCA",Table1
180,14-10-2005/ 2941,"30-12-2010/ 4511
25-03-2014/ 971
25-05-2015/ 1753",PROPINEB VECOL 70% WP,VECOL S.A,PROPINEB,700 g/kg,III,FUNGICIDA,WP,CHINA,"PAPA, ARROZ",Table1
181,11-10-2005/ 2901,"30-12-2010/ 4517
09-04-2015/ 1037
04-10-2019/ 15726",METHOLACLOR VECOL 960 EC,VECOL S.A,S-METOLACHLOR,960 g/L,II,HERBICIDA,EC,CHINA,"SORGO, MAIZ, YUCA",Table1
182,19-10-2990/ 2990,13-05-2009/ 1737,AGNA® 500 SC,LABORATORIOS FARMACEUTICOS GENFAR S.A.,CARBENDAZIM,500 g/L,III,FUNGICIDA,SC,ESPAÑA COLOMBIA,FRIJOL,Table1
183,09-04-2007/ 0834,"11-03-2014/ 801
11-09-2020/ 075364",MECTIN 1.8 EC,UPL COLOMBIA S.A.S.,MEZCLA DE AVERMECTINAS B1b y AVERMECTINA B1a,18 g/L,II,INSECTICIDA,EC,INGLATERRA CHINA,"FLORES ORNAMENTALES, ALGODÓN,  MELON, TOMATE,  CITRICOS",Table1
184,18-11-2005/ 3342,07-04-2020/ 065167,DEBROX 250 EC,TECNOQUIMICAS  S.A,OXADIAZON,250 g/L,II,HERBICIDA,EC,CHINA,ARROZ,Table1
185,19-10-2005/ 2983,13-09-2019/ 14212,PARAQUAT VECOL 200 SL,VECOL S.A,PARAQUAT,200 g/L,I,HERBICIDA,SL,CHINA,"BANANO ,CACAO, CAFÉ, CÍTRICOS, FRUTALES, PALMA AFRICANA, UVAS, ALGODÓN,  CAÑA, PAPA, MAÍZ, TOMATE, FRIJOL, ARROZ, SORGO",Table1
186,18-11-2005/ 3341,,SAAT MINUETTO 480 EC,SAAT ANDINA S.A.,"CLOMAZONE
27 de 365",480 g/L,II,HERBICIDA,EC,CHINA,"ARROZ, TABACO",Table1
